name,FINISHED,axes.mach.l.p[X],axes.mach.l.p[Y],axes.mach.l.v[X],axes.mach.l.v[Y],axes.mach.f.p[X],axes.mach.f.p[Y],axes.mach.f.v[X],axes.mach.f.v[Y]
units,sec,mm,mm,mm/min,mm/min,mm,mm,mm/min,mm/min
47,   0.383000,   -1079.342484,   -1265.604615,    2327.090800,       0.000000,   -1079.858422,   -1265.604615,       0.000000,       0.000000
48,   0.384000,   -1079.302907,   -1265.604615,    2426.105663,       0.000000,   -1079.856992,   -1265.604615,       0.000000,       0.000000
49,   0.385000,   -1079.261661,   -1265.604615,    2522.180378,       0.000000,   -1079.855204,   -1265.604615,       0.000000,       0.000000
50,   0.386000,   -1079.218864,   -1265.604615,    2615.315169,       0.000000,   -1079.853058,   -1265.604615,       0.000000,       0.000000
51,   0.387000,   -1079.174519,   -1265.604615,    2705.509812,       0.000000,   -1079.850674,   -1265.604615,       0.000000,       0.000000
52,   0.388000,   -1079.128742,   -1265.604615,    2792.764530,       0.000000,   -1079.847455,   -1265.604615,       0.000000,       0.000000
53,   0.389000,   -1079.081416,   -1265.604615,    2877.079323,       0.000000,   -1079.842567,   -1265.604615,       0.000000,       0.000000
54,   0.390000,   -1079.032779,   -1265.604615,    2958.454192,       0.000000,   -1079.837084,   -1265.604615,       0.000000,       0.000000
55,   0.391000,   -1078.982830,   -1265.604615,    3036.888912,       0.000000,   -1079.832554,   -1265.604615,       0.000000,       0.000000
56,   0.392000,   -1078.931570,   -1265.604615,    3112.383708,       0.000000,   -1079.828143,   -1265.604615,       0.000000,       0.000000
57,   0.393000,   -1078.879118,   -1265.604615,    3184.938356,       0.000000,   -1079.822779,   -1265.604615,       0.000000,       0.000000
58,   0.394000,   -1078.825474,   -1265.604615,    3254.553080,       0.000000,   -1079.816103,   -1265.604615,       0.000000,       0.000000
59,   0.395000,   -1078.770638,   -1265.604615,    3321.227878,       0.000000,   -1079.808950,   -1265.604615,       0.000000,       0.000000
60,   0.396000,   -1078.714728,   -1265.604615,    3384.962529,       0.000000,   -1079.801083,   -1265.604615,       0.000000,       0.000000
61,   0.397000,   -1078.657866,   -1265.604615,    3445.757478,       0.000000,   -1079.792500,   -1265.604615,       0.000000,       0.000000
62,   0.398000,   -1078.599930,   -1265.604615,    3503.612056,       0.000000,   -1079.783320,   -1265.604615,       0.000000,       0.000000
63,   0.399000,   -1078.541040,   -1265.604615,    3558.526933,       0.000000,   -1079.773426,   -1265.604496,       0.000000,       0.000000
64,   0.400000,   -1078.481317,   -1265.604615,    3610.501662,       0.000000,   -1079.762459,   -1265.604615,       0.000000,       0.000000
65,   0.401000,   -1078.420758,   -1265.604615,    3659.536466,       0.000000,   -1079.750896,   -1265.604615,       0.000000,       0.000000
66,   0.402000,   -1078.359365,   -1265.604615,    3705.631122,       0.000000,   -1079.738379,   -1265.604615,       0.000000,       0.000000
67,   0.403000,   -1078.297257,   -1265.604615,    3748.785853,       0.000000,   -1079.724669,   -1265.604615,       0.000000,       0.000000
68,   0.404000,   -1078.234434,   -1265.604615,    3789.000660,       0.000000,   -1079.710364,   -1265.604615,       0.000000,       0.000000
69,   0.405000,   -1078.170896,   -1265.604615,    3826.275319,       0.000000,   -1079.694629,   -1265.604615,       0.000000,       0.000000
70,   0.406000,   -1078.106880,   -1265.604615,    3860.610276,       0.000000,   -1079.677820,   -1265.604615,       0.000000,       0.000000
71,   0.407000,   -1078.042269,   -1265.604615,    3892.005086,       0.000000,   -1079.659939,   -1265.604615,       0.000000,       0.000000
72,   0.408000,   -1077.977180,   -1265.604615,    3920.459747,       0.000000,   -1079.640865,   -1265.604615,       0.000000,       0.000000
73,   0.409000,   -1077.911615,   -1265.604615,    3945.974261,       0.000000,   -1079.620481,   -1265.604615,       0.000000,       0.000000
74,   0.410000,   -1077.845693,   -1265.604615,    3968.549073,       0.000000,   -1079.599023,   -1265.604615,       0.000000,       0.000000
