name,FINISHED,axes.mach.l.p[X],axes.mach.l.p[Y],axes.mach.l.p[C],axes.mach.f.p[X],axes.mach.f.p[Y],axes.mach.f.p[C]
units,sec,mm,mm,deg,mm,mm,deg
5950,   8.279000,     557.363868,    1368.589997,      28.633567,     574.116170,    1348.446012,      35.398804
5951,   8.280000,     556.980848,    1369.112372,      28.464929,     573.639870,    1348.967314,      35.217616
5952,   8.281000,     556.600273,    1369.634271,      28.296671,     573.165715,    1349.489331,      35.036729
5953,   8.282000,     556.222081,    1370.155931,      28.128795,     572.694421,    1350.010514,      34.855985
5954,   8.283000,     555.846274,    1370.677114,      27.961305,     572.225571,    1350.531816,      34.675655
5955,   8.284000,     555.472851,    1371.197939,      27.794203,     571.758568,    1351.054072,      34.495426
5956,   8.285000,     555.101871,    1371.718407,      27.627490,     571.294069,    1351.576805,      34.315441
5957,   8.286000,     554.733217,    1372.238398,      27.461168,     570.832491,    1352.099657,      34.135841
5958,   8.287000,     554.366946,    1372.757912,      27.295239,     570.373178,    1352.622867,      33.956606
5959,   8.288000,     554.003060,    1373.276949,      27.129708,     569.915771,    1353.146672,      33.777444
5960,   8.289000,     553.641498,    1373.795509,      26.964576,     569.461405,    1353.670835,      33.598585
5961,   8.290000,     553.282320,    1374.313593,      26.799844,     569.009960,    1354.194880,      33.420163
5962,   8.291000,     552.925527,    1374.831080,      26.635515,     568.560004,    1354.718924,      33.242145
5963,   8.292000,     552.571118,    1375.348091,      26.471592,     568.112195,    1355.244040,      33.064225
5964,   8.293000,     552.219033,    1375.864506,      26.308077,     567.668080,    1355.769038,      32.886541
5965,   8.294000,     551.869333,    1376.380444,      26.144970,     567.226291,    1356.293321,      32.709298
5966,   8.295000,     551.521897,    1376.895785,      25.982279,     566.786230,    1356.817961,      32.532799
5967,   8.296000,     551.176906,    1377.410412,      25.820000,     566.348791,    1357.342958,      32.356437
5968,   8.297000,     550.834179,    1377.924442,      25.658138,     565.914035,    1357.867360,      32.180149
5969,   8.298000,     550.493836,    1378.437877,      25.496697,     565.481067,    1358.391523,      32.004224
5970,   8.299000,     550.155818,    1378.950715,      25.335677,     565.050304,    1358.916402,      31.828818
5971,   8.300000,     549.820065,    1379.462838,      25.175080,     564.622879,    1359.440446,      31.654095
5972,   8.301000,     549.486697,    1379.974246,      25.014909,     564.198136,    1359.964371,      31.479382
5973,   8.302000,     549.155593,    1380.484939,      24.855166,     563.775063,    1360.488653,      31.305069
5974,   8.303000,     548.826873,    1380.994916,      24.695855,     563.353717,    1361.012697,      31.131271
5975,   8.304000,     548.500419,    1381.504178,      24.536976,     562.935054,    1361.536384,      30.957450
5976,   8.305000,     548.176229,    1382.012725,      24.378533,     562.519848,    1362.060547,      30.784072
5977,   8.306000,     547.854364,    1382.520437,      24.220529,     562.106967,    1362.584710,      30.611074
5978,   8.307000,     547.534823,    1383.027434,      24.062963,     561.695755,    1363.108397,      30.438161
5979,   8.308000,     547.217548,    1383.533597,      23.905840,     561.286628,    1363.632321,      30.265685
5980,   8.309000,     546.902537,    1384.038925,      23.749160,     560.880303,    1364.156723,      30.093762
5981,   8.310000,     546.589792,    1384.543419,      23.592928,     560.477078,    1364.680767,      29.922171
5982,   8.311000,     546.279311,    1385.046959,      23.437145,     560.076177,    1365.203977,      29.750859
5983,   8.312000,     545.971155,    1385.549784,      23.281813,     559.677422,    1365.727425,      29.579722
5984,   8.313000,     545.665205,    1386.051655,      23.126935,     559.280872,    1366.250873,      29.409200
5985,   8.314000,     545.361519,    1386.552691,      22.972513,     558.886766,    1366.774082,      29.239026
5986,   8.315000,     545.060039,    1387.052655,      22.818549,     558.495224,    1367.296457,      29.069265
5987,   8.316000,     544.760883,    1387.551785,      22.665045,     558.106184,    1367.818594,      28.899873
5988,   8.317000,     544.463873,    1388.049960,      22.512005,     557.719111,    1368.340492,      28.730993
5989,   8.318000,     544.169128,    1388.547182,      22.359429,     557.334185,    1368.861675,      28.562348
5990,   8.319000,     543.876588,    1389.043450,      22.207320,     556.952119,    1369.382501,      28.394177
5991,   8.320000,     543.586314,    1389.538646,      22.055681,     556.572735,    1369.903088,      28.226537
5992,   8.321000,     543.298185,    1390.032887,      21.904516,     556.195736,    1370.422602,      28.058931
5993,   8.322000,     543.012321,    1390.526056,      21.753823,     555.820763,    1370.941997,      27.891965
5994,   8.323000,     542.728603,    1391.018271,      21.603607,     555.448472,    1371.461630,      27.725208
5995,   8.324000,     542.447090,    1391.509295,      21.453870,     555.078804,    1371.980429,      27.558808
5996,   8.325000,     542.167723,    1391.999364,      21.304613,     554.711044,    1372.498393,      27.392680
5997,   8.326000,     541.890562,    1392.488241,      21.155842,     554.345369,    1373.016953,      27.226975
5998,   8.327000,     541.615605,    1392.976046,      21.007555,     553.982258,    1373.535395,      27.061640
5999,   8.328000,     541.342795,    1393.462777,      20.859756,     553.621590,    1374.052644,      26.896774
6000,   8.329000,     541.072071,    1393.948317,      20.712448,     553.263128,    1374.569416,      26.732343
